,S.No.,USN,physics,chemisry,english,maths,sst,gk,history,Total,Percentage,CGPA
0,1,4MC17CS017,77,74,76,70,60,72,72,501,71.57142857,B
1,2,4MC17CS051,70,67,70,68,59,64,71,469,67,C
2,3,4MC18CS001,73,69,73,72,63,67,70,487,69.57142857,C
3,4,4MC18CS002,71,74,71,62,56,66,76,476,68,C
4,5,4MC18CS003,82,81,85,84,73,84,83,572,81.71428571,A
5,6,4MC18CS004,74,71,72,70,57,63,71,478,68.28571429,C
6,7,4MC18CS005,87,83,87,85,80,84,83,589,84.14285714,A
7,8,4MC18CS006,85,82,83,83,67,78,83,561,80.14285714,B
8,9,4MC18CS007,84,81,81,80,75,80,81,562,80.28571429,B
9,10,4MC18CS008,84,83,83,81,72,80,80,563,80.42857143,B
10,11,4MC18CS009,82,84,83,82,77,76,81,565,80.71428571,B
11,12,4MC18CS010,73,72,75,72,62,69,72,495,70.71428571,C
12,13,4MC18CS011,86,84,88,86,75,84,86,589,84.14285714,A
13,14,4MC18CS013,74,71,73,71,60,71,70,490,70,C
14,15,4MC18CS014,85,82,85,84,74,84,82,576,82.28571429,A
15,16,4MC18CS015,77,75,78,75,69,76,77,527,75.28571429,B
16,17,4MC18CS018,75,73,74,72,59,70,73,496,70.85714286,C
17,18,4MC18CS019,86,84,87,83,80,81,84,585,83.57142857,A
18,19,4MC18CS020,83,79,83,82,73,78,80,558,79.71428571,B
19,20,4MC18CS021,83,81,83,82,74,81,80,564,80.57142857,B
20,21,4MC18CS022,78,77,81,79,62,77,78,532,76,B
21,22,4MC18CS023,86,82,86,84,76,83,85,582,83.14285714,A
22,23,4MC18CS025,73,67,71,67,62,65,69,474,67.71428571,C
23,24,4MC18CS027,76,72,68,68,63,65,74,486,69.42857143,C
24,25,4MC18CS028,88,86,88,85,80,87,86,600,85.71428571,A
25,26,4MC18CS029,73,72,73,71,65,66,71,491,70.14285714,C
26,27,4MC18CS031,90,89,89,90,83,87,85,613,87.57142857,A
27,28,4MC18CS032,77,75,77,76,66,74,76,521,74.42857143,B
28,29,4MC18CS033,75,73,76,73,63,67,72,499,71.28571429,B
29,30,4MC18CS034,88,85,87,86,76,84,85,591,84.42857143,A
30,31,4MC18CS035,80,76,77,74,63,72,76,518,74,B
31,32,4MC18CS036,87,86,87,87,82,84,87,600,85.71428571,A
32,33,4MC18CS037,83,78,82,81,70,75,79,548,78.28571429,B
33,34,4MC18CS038,89,87,88,85,75,85,85,594,84.85714286,A
34,35,4MC18CS039,48,58,62,54,53,57,59,391,55.85714286,D
35,36,4MC18CS040,87,83,87,84,72,84,84,581,83,A
36,37,4MC18CS041,61,72,70,72,62,66,75,478,68.28571429,C
37,38,4MC18CS043,80,76,79,78,72,76,80,541,77.28571429,B
38,39,4MC18CS044,79,80,79,75,71,74,80,538,76.85714286,B
39,40,4MC18CS045,77,73,76,74,63,73,74,510,72.85714286,B
40,41,4MC18CS046,77,75,75,75,68,70,76,516,73.71428571,B
41,42,4MC18CS047,86,82,86,83,71,83,81,572,81.71428571,A
42,43,4MC18CS048,94,91,94,93,89,93,91,645,92.14285714,S
43,44,4MC18CS050,81,77,78,79,72,77,79,543,77.57142857,B
44,45,4MC18CS051,93,91,93,93,86,91,92,639,91.28571429,S
45,46,4MC18CS052,83,81,83,82,75,75,81,560,80,B
46,47,4MC18CS056,77,74,77,76,62,74,73,513,73.28571429,B
47,48,4MC18CS057,80,77,81,78,71,76,78,541,77.28571429,B
48,49,4MC19CS400,76,71,72,71,60,71,73,494,70.57142857,C
49,50,4MC19CS402,71,72,75,73,57,69,72,489,69.85714286,C
50,51,4MC19CS403,71,66,71,67,55,67,67,464,66.28571429,C
51,52,4MC19CS404,80,76,79,76,63,77,76,527,75.28571429,B
52,53,4MC19CS405,67,65,69,68,50,65,66,450,64.28571429,C
